Country,Year,No. of cases,No. of deaths,No. of cases_median,No. of cases_min,No. of cases_max,No. of deaths_median,No. of deaths_min,No. of deaths_max,WHO Region,Reported No. of Cases,Reported No. of deaths,Changes in inventories,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross Domestic Product (GDP),Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Population,GDP_per_capita
Burkina Faso,2010,9221846[6578000-12230000],43695[37300-50100],9221846,6578000.0,12230000.0,43695,37300.0,50100.0,Africa,804539.0,9024.0,93423736064.0,1026240000000.0,4304430000000.0,723192000000.0,5002180000000.0,1100000000000.0,1006580000000.0,3581240000000.0,1428490000000.0,16120000.000000002,310308.93300248135
Burundi,2010,1608931[955000-2677000],4801[3840-5760],1608931,955000.0,2677000.0,4801,3840.0,5760.0,Africa,1763447.0,2677.0,17651000000.0,242823000000.0,2586520000000.0,445927000000.0,2501050000000.0,415928000000.0,398277000000.0,2140600000000.0,744227000000.0,9130000.0,273937.56845564075
Cabo Verde,2010,47,1,47,0.0,0.0,1,0.0,0.0,Africa,47.0,1.0,3399300000.0,45270800000.0,112865000000.0,25536400000.0,138569000000.0,66024200000.0,62624900000.0,87328200000.0,85591000000.0,520000.0,266478.8461538461
Cambodia,2010,361377[304000-430000],659[40-1170],361377,304000.0,430000.0,659,40.0,1170.0,Western Pacific,49356.0,151.0,552150000000.0,25444900000000.0,41231200000000.0,2985050000000.0,47048000000000.0,8171130000000.0,7618980000000.0,38246200000000.0,28003400000000.0,14360000.0,3276323.119777159
Cameroon,2010,5361329[3578000-7972000],12340[9450-15200],5361329,3578000.0,7972000.0,12340,9450.0,15200.0,Africa,0.0,4536.0,-40476676040.0,3044530000000.0,11469900000000.0,1553380000000.0,13610600000000.0,2480990000000.0,2521470000000.0,9916550000000.0,3384900000000.0,19880000.0,684637.8269617707
Central African Republic,2010,2140887[1060000-3519000],8165[6590-9730],2140887,1060000.0,3519000.0,8165,6590.0,9730.0,Africa,0.0,526.0,7499000000.0,123250000000.0,1000090000000.0,127693000000.0,1060140000000.0,178568000000.0,171069000000.0,872393000000.0,241762000000.0,4660000.0,227497.85407725323
Chad,2010,3594883[2594000-4735000],13695[10300-17000],3594883,2594000.0,4735000.0,13695,10300.0,17000.0,Africa,200448.0,886.0,139704000000.0,2326640000000.0,4187730000000.0,597362000000.0,6030560000000.0,1374510000000.0,1234800000000.0,3590370000000.0,1858320000000.0,11890000.0,507195.9629941127
China,2010,4990,19,4990,0.0,0.0,19,0.0,0.0,Western Pacific,4990.0,19.0,1082600000000.0,11203600000000.0,20158100000000.0,6011600000000.0,41211900000000.0,19186700000000.0,18104100000000.0,14146500000000.0,9697900000000.0,1348190000.0,30568.31752201099
Colombia,2010,163874[125000-204000],42,163874,125000.0,204000.0,42,0.0,0.0,Americas,117589.0,42.0,-859000000000.0,88904000000000.0,433584000000000.0,74864000000000.0,544060000000000.0,119088000000000.0,119947000000000.0,358720000000000.0,97516000000000.0,44820000.0,12138777.331548415
Comoros,2010,36538,90[3-140],36538,0.0,0.0,90,3.0,140.0,Africa,36538.0,53.0,1053000000.0,32478000000.0,344014000000.0,31418846168.0,336947000000.0,61240000000.0,60187000000.0,312595000000.0,100785000000.0,660000.0,510525.75757575757
Congo,2010,835820[468000-1370000],1962[1710-2210],835820,468000.0,1370000.0,1962,1710.0,2210.0,Americas,0.0,0.0,547157000000.0,4458270000000.0,2590490000000.0,687773000000.0,6505750000000.0,3070080000000.0,2522920000000.0,1902710000000.0,3613080000000.0,4440000.0,1465259.009009009
Costa Rica,2010,110,0,110,0.0,0.0,0,0.0,0.0,Americas,110.0,0.0,74754418494.0,6500880000000.0,16241500000000.0,3291230000000.0,19802000000000.0,3927510000000.0,3852760000000.0,12950200000000.0,6867870000000.0,4620000.0,4286147.186147186
Democratic Republic of the Congo,2010,23691683[16060000-35620000],62375[48100-76600],23691683,16060000.0,35620000.0,62375,48100.0,76600.0,Africa,2417780.0,23476.0,11600000000.0,8031800000000.0,15579300000000.0,1891000000000.0,19536700000000.0,5622900000000.0,5611300000000.0,13688300000000.0,9697300000000.0,66390000.0,294271.7276698298
Djibouti,2010,1010,0,1010,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,1010.0,0.0,87017901583.0,146043000000.0,177321000000.0,50604607014.0,221023000000.0,145337000000.0,58318912567.0,126716000000.0,247677000000.0,920000.0,240242.39130434784
Dominican Republic,2010,4247[3600-5000],10[0-20],4247,3600.0,5000.0,10,0.0,20.0,Americas,3414.0,15.0,23462593650.0,449706000000.0,1671210000000.0,196875000000.0,1983200000000.0,523168000000.0,499705000000.0,1474340000000.0,660886000000.0,9780000.0,202781.18609406953
Ecuador,2010,1888,0,1888,0.0,0.0,0,0.0,0.0,Americas,1888.0,0.0,2373567000.0,19402439000.0,53193172000.0,9181067000.0,69555367000.0,19501456000.0,17127889000.0,44012105000.0,22541700000.0,14990000.0,4640.117878585724
Egypt,2010,0,2,0,0.0,0.0,2,0.0,0.0,Eastern Mediterranean,0.0,2.0,3641000000.0,257552000000.0,1034450000000.0,134653000000.0,1206640000000.0,235468000000.0,231827000000.0,899800000000.0,320833000000.0,87250000.0,13829.684813753582
El Salvador,2010,19,0,19,0.0,0.0,0,0.0,0.0,Americas,19.0,0.0,353924759.0,4971100000.0,18996254192.0,2898464011.0,18447922436.0,3075568244.0,2721643485.0,16097790181.0,8595000000.0,6110000.0,3019.299907692308
Equatorial Guinea,2010,381639[239000-558000],1047[840-1260],381639,239000.0,558000.0,1047,840.0,1260.0,Africa,53813.0,30.0,-344310000000.0,6922670000000.0,2832980000000.0,943347000000.0,8072290000000.0,3072020000000.0,3416330000000.0,1889630000000.0,4755370000000.0,1090000.0,7405770.642201835
Eritrea,2010,83471[53000-119000],161[9-330],83471,53000.0,119000.0,161,9.0,330.0,Africa,35982.0,27.0,0.0,1558798686.0,26357125967.0,6481260826.0,24438800000.0,4441352272.0,4441352272.0,19875865141.0,7918476926.0,3150000.0,7758.349206349207
Eswatini,2010,268,0[0-1],268,0.0,0.0,0,0.0,1.0,Africa,268.0,8.0,0.0,15101800000.0,33204803000.0,6791520000.0,32497184586.0,4707250000.0,4707250000.0,26413283000.0,19361200000.0,1100000.0,29542.895078181817
Ethiopia,2010,7701107[478000-27080000],14514[60-64700],7701107,478000.0,27080000.0,14514,60.0,64700.0,Africa,1158197.0,1581.0,0.0,52168000000.0,343933000000.0,34801000000.0,379135000000.0,102403000000.0,102403000000.0,309132000000.0,126319000000.0,89240000.0,4248.487225459436
Gabon,2010,285725[130000-549000],413[360-460],285725,130000.0,549000.0,413,360.0,460.0,Africa,13936.0,182.0,-121000000000.0,4100700000000.0,3138200000000.0,959100000000.0,7111500000000.0,2112500000000.0,2233500000000.0,2179100000000.0,2240000000000.0,1710000.0,4158771.9298245613
Gambia,2010,465479[367000-580000],619[520-720],465479,367000.0,580000.0,619,520.0,720.0,Africa,116353.0,151.0,0.0,5697762000.0,42462467371.0,3682798284.0,43230706492.0,5114406898.0,5114406898.0,38779669088.0,8828380000.0,1940000.0,22283.869325773197
Georgia,2010,0,0,0,0.0,0.0,0,0.0,0.0,Europe,0.0,0.0,350105418.0,7191219174.0,21050295549.0,3332382777.0,21821569222.0,4478673830.0,4128568412.0,17717912772.0,10898619332.0,3840000.0,5682.700318229166
Ghana,2010,9171294[6265000-13160000],15241[13200-17300],9171294,6265000.0,13160000.0,15241,13200.0,17300.0,Africa,1071637.0,3859.0,1300618998.0,13571713054.0,50717959172.0,5058875822.0,60943660993.0,15905277920.0,14604658922.0,45659083350.0,19917908769.0,25570000.0,2383.4048100508408
Guatemala,2010,9545[7900-12000],3[1-7],9545,7900.0,12000.0,3,1.0,7.0,Americas,7384.0,0.0,280313193.0,78453495828.0,315709000000.0,36673126664.0,327807000000.0,51669626896.0,51389313703.0,279036000000.0,118540000000.0,14540000.0,22545.18569463549
Guinea,2010,4348149[3111000-5940000],12896[10200-15600],4348149,3111000.0,5940000.0,12896,10200.0,15600.0,Africa,20936.0,735.0,466295000000.0,11906900000000.0,36315400000000.0,4932190000000.0,39243400000000.0,7976390000000.0,7510090000000.0,31383200000000.0,16955300000000.0,10270000.0,3821168.4518013634
Guinea-Bissau,2010,122027[67000-203000],664[550-770],122027,67000.0,203000.0,664,550.0,770.0,Africa,50391.0,296.0,497000000.0,83742000000.0,457280000000.0,63956000000.0,420515000000.0,27666000000.0,27169000000.0,393324000000.0,148173000000.0,1570000.0,267843.949044586
Guyana,2010,32656[26000-41000],57[4-100],32656,26000.0,41000.0,57,4.0,100.0,Americas,22935.0,24.0,0.0,350345000000.0,716299000000.0,105652000000.0,699064000000.0,177532000000.0,177532000000.0,610647000000.0,545114000000.0,750000.0,932085.3333333334
Haiti,2010,82766[48000-131000],211[5-480],82766,48000.0,131000.0,211,5.0,480.0,Americas,84153.0,8.0,0.0,32345398286.0,490439000000.0,34794007475.0,470074000000.0,119455000000.0,119455000000.0,455645000000.0,172165000000.0,9840000.0,47771.74796747968
Honduras,2010,13106[10000-16000],7[2-10],13106,10000.0,16000.0,7,2.0,10.0,Americas,9744.0,3.0,969462456.0,136950000000.0,287447000000.0,53651300000.0,299286000000.0,65483300000.0,64513837544.0,233796000000.0,190594000000.0,8450000.0,35418.46153846154
India,2010,20490000[15080000-28300000],30930[2770-58600],20490000,15080000.0,28300000.0,30930,2770.0,58600.0,South-East Asia,1599986.0,1018.0,3335490000000.0,17101900000000.0,50183300000000.0,8403730000000.0,76344700000000.0,30375200000000.0,27039700000000.0,41779500000000.0,20501800000000.0,1240610000.0,61538.03370922369
