Country,Year,No. of cases,No. of deaths,No. of cases_median,No. of cases_min,No. of cases_max,No. of deaths_median,No. of deaths_min,No. of deaths_max,WHO Region,Reported No. of Cases,Reported No. of deaths,Changes in inventories,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross Domestic Product (GDP),Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Population,GDP_per_capita
Saudi Arabia,2010,29,0,29,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,29.0,0.0,128661000000.0,981867000000.0,1039590000000.0,400173000000.0,1980780000000.0,612582000000.0,483921000000.0,639417000000.0,653261000000.0,29410000.0,67350.56103366202
Senegal,2010,792643[563000-1046000],4284[3710-4860],792643,563000.0,1046000.0,4284,3710.0,4860.0,Africa,330331.0,553.0,107692000000.0,1593850000000.0,7371180000000.0,1129730000000.0,7976730000000.0,1602280000000.0,1494590000000.0,6241450000000.0,2590570000000.0,12530000.0,636610.53471668
Sierra Leone,2010,3031470[1954000-4234000],23575[20400-26800],3031470,1954000.0,4234000.0,23575,20400.0,26800.0,Africa,934028.0,8188.0,48576904093.0,1722430000000.0,8870910000000.0,1074170000000.0,10255600000000.0,3198680000000.0,3150100000000.0,7796740000000.0,3536400000000.0,6440000.0,1592484.4720496894
Solomon Islands,2010,91425[65000-132000],163[10-330],91425,65000.0,132000.0,163,10.0,330.0,Western Pacific,39704.0,34.0,860958559.0,2546000000.0,6954300000.0,2284800000.0,7242958559.0,2160658559.0,1299700000.0,4669500000.0,4418000000.0,540000.0,13412.88622037037
Somalia,2010,356323[214000-527000],912[20-1990],356323,214000.0,527000.0,912,20.0,1990.0,Eastern Mediterranean,24553.0,6.0,987198446.0,11618000000000.0,106949000000000.0,3528870000000.0,84046800000000.0,11284400000000.0,11283400000000.0,103420000000000.0,45804200000000.0,12030000.0,6986433.91521197
South Africa,2010,8060,83,8060,0.0,0.0,83,0.0,0.0,Africa,8060.0,83.0,1039179811.0,787842000000.0,2455600000000.0,549890000000.0,3055610000000.0,537655000000.0,536616000000.0,1905710000000.0,752374000000.0,51780000.0,59011.39436075705
South Sudan,2010,1940101[1283000-2836000],5286[4470-6110],1940101,1283000.0,2836000.0,5286,4470.0,6110.0,Africa,900283.0,1053.0,0.0,21443954379.0,22307175945.0,5853309289.0,34417041323.0,3845266854.0,3835105854.0,16453866656.0,13169200357.0,9710000.0,3544.4944719876416
Sri Lanka,2010,684,0,684,0.0,0.0,0,0.0,0.0,South-East Asia,684.0,0.0,377651000000.0,1254020000000.0,4932550000000.0,542330000000.0,6413670000000.0,1946710000000.0,1569060000000.0,4390220000000.0,1719610000000.0,20670000.0,310288.824383164
Sudan,2010,961960[606000-1453000],2462[70-5520],961960,606000.0,1453000.0,2462,70.0,5520.0,Eastern Mediterranean,720557.0,1023.0,3089239000.0,6077945621.0,102425000000.0,6147490711.0,126229000000.0,30958633146.0,27869394146.0,96277533344.0,13242299643.0,33740000.0,3741.2270302311795
Suriname,2010,1712,1,1712,0.0,0.0,1,0.0,0.0,Americas,1712.0,1.0,0.0,5978745195.0,6662832249.0,1720606623.0,12304479912.0,4559593182.0,4559593182.0,4942225626.0,5033137276.0,550000.0,22371.78165818182
Syrian Arab Republic,2010,0,0,0,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,0.0,0.0,165163000000.0,911773000000.0,2037530000000.0,346055000000.0,2791780000000.0,745074000000.0,579911000000.0,1691480000000.0,902606000000.0,22340000.0,124967.77081468218
Tajikistan,2010,111,0,111,0.0,0.0,0,0.0,0.0,Europe,111.0,0.0,-159000000.0,6620600000.0,23726200000.0,2798500000.0,24706900000.0,5891600000.0,6050600000.0,20927700000.0,14577700000.0,7620000.0,3242.3753280839896
Thailand,2010,32480,80,32480,0.0,0.0,80,0.0,0.0,South-East Asia,32480.0,80.0,147419000000.0,7185920000000.0,7346990000000.0,1707780000000.0,10808100000000.0,2740590000000.0,2593170000000.0,5639210000000.0,6567500000000.0,68270000.0,158314.04716566575
Timor-Leste,2010,103604[74000-137000],200[10-390],103604,74000.0,137000.0,200,10.0,390.0,South-East Asia,48137.0,58.0,155158.0,75532265.0,1539403106.0,909808771.0,881827795.0,376650822.0,376495663.0,629594336.0,1109758399.0,1090000.0,809.0163256880734
Togo,2010,2366948[1580000-3356000],5064[4100-6030],2366948,1580000.0,3356000.0,5064,4100.0,6030.0,Africa,617101.0,1507.0,-48207000000.0,651128000000.0,2242950000000.0,307545000000.0,2348490000000.0,372010000000.0,420217000000.0,1935400000000.0,917601000000.0,6570000.0,357456.6210045662
Turkmenistan,2010,0,0,0,0.0,0.0,0,0.0,0.0,Europe,0.0,0.0,0.0,49118163300.0,9237325500.0,5990407000.0,64362000000.0,33391538000.0,33391538000.0,3246918500.0,28625026800.0,5270000.0,12212.90322580645
Uganda,2010,11503116[7618000-17700000],21558[17200-26000],11503116,7618000.0,17700000.0,21558,17200.0,26000.0,Africa,1581160.0,8431.0,270012000000.0,7314300000000.0,54262000000000.0,4636400000000.0,66853000000000.0,16116500000000.0,15846500000000.0,49625600000000.0,19171700000000.0,32340000.000000004,2067192.3314780456
United Arab Emirates,2010,0,0,0,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,0.0,0.0,25122974248.0,875260000000.0,556298000000.0,106755000000.0,1064240000000.0,288635000000.0,263512000000.0,449543000000.0,655948000000.0,8480000.0,125500.0
Uzbekistan,2010,3,0,3,0.0,0.0,0,0.0,0.0,Europe,3.0,0.0,3621210000000.0,19162200000000.0,58433500000000.0,9871240000000.0,78936600000000.0,21453600000000.0,17832300000000.0,48562300000000.0,19718700000000.0,28610000.0,2759056.2740300596
Vanuatu,2010,15695[12000-20000],20[2-40],15695,12000.0,20000.0,20,2.0,40.0,Western Pacific,8169.0,1.0,549000000.0,31665000000.0,53962000000.0,11876000000.0,67912000000.0,23538000000.0,22989000000.0,42086000000.0,35816000000.0,250000.0,271648.0
Viet Nam,2010,23062[21000-26000],45[2-80],23062,21000.0,26000.0,45,2.0,80.0,Western Pacific,17515.0,21.0,53136200000000.0,1480000000000000.0,1890000000000000.0,284486000000000.0,2740000000000000.0,1020000000000000.0,963320000000000.0,1600000000000000.0,1640000000000000.0,87410000.0,31346527.857224572
Yemen,2010,1134927[611000-2686000],2874[90-8490],1134927,611000.0,2686000.0,2874,90.0,8490.0,Eastern Mediterranean,106697.0,92.0,-44834472319.0,2034050000000.0,5786390000000.0,886613000000.0,6786810000000.0,1299870000000.0,1344700000000.0,4899780000000.0,2333490000000.0,24740000.0,274325.38399353274
Zambia,2010,2169307[1449000-3095000],6544[5580-7510],2169307,1449000.0,3095000.0,6544,5580.0,7510.0,Africa,0.0,4834.0,3871900000.0,35995100000.0,62190470000.0,9118530000.0,97215900000.0,29045700000.0,25173800000.0,53071940000.0,30015400000.0,13790000.0,7049.738941261784
Zimbabwe,2010,1095083[606000-1717000],2803[80-6190],1095083,606000.0,1717000.0,2803,80.0,6190.0,Africa,249379.0,255.0,210918067.0,3569254416.0,12653262777.0,1844254601.0,12041655177.0,2259412007.0,2048493940.0,10809008175.0,6440274022.0,12840000.0,937.8236119158878
